year,county,num_firms,num_establishments,num_employees,establishments_born,establishments_exited,jobs_created,jobs_destroyed,net_jobs_created,net_job_creation_rate,employees_per_firm,net_establishment_change,job_churn
2000,"Lonoke County, Arkansas",186.0,189.0,,7.0,25.0,212.0,341.0,,−5.600,,-18.0,553.0
2000,"Lonoke County, Arkansas",89.0,90.0,,,,126.0,166.0,,−1.455,,,292.0
2000,"Lonoke County, Arkansas",786.0,833.0,,110.0,93.0,,,266.0,2.925,,17.0,
2000,"Lonoke County, Arkansas",158.0,167.0,,0.0,20.0,237.0,260.0,,−1.398,,-20.0,497.0
2000,"Lonoke County, Arkansas",96.0,97.0,473.0,97.0,,473.0,,473.0,200.000,4.93,,
2000,"Lonoke County, Arkansas",281.0,290.0,,5.0,46.0,360.0,381.0,,−0.972,,-41.0,741.0
2000,"Lonoke County, Arkansas",786.0,833.0,,110.0,93.0,,,266.0,2.925,,17.0,
2001,"Lonoke County, Arkansas",796.0,850.0,,106.0,90.0,,,363.0,3.860,,16.0,
2001,"Lonoke County, Arkansas",81.0,82.0,486.0,82.0,,486.0,,486.0,200.000,6.0,,
2001,"Lonoke County, Arkansas",181.0,191.0,,4.0,19.0,218.0,340.0,,−6.389,,-15.0,558.0
2001,"Lonoke County, Arkansas",90.0,91.0,,,,173.0,128.0,45.0,1.634,,,301.0
2001,"Lonoke County, Arkansas",273.0,284.0,,8.0,51.0,398.0,421.0,,−1.081,,-43.0,819.0
2001,"Lonoke County, Arkansas",796.0,850.0,,106.0,90.0,,,363.0,3.860,,16.0,
2001,"Lonoke County, Arkansas",199.0,202.0,,10.0,19.0,317.0,349.0,,−1.350,,-9.0,666.0
2002,"Lonoke County, Arkansas",261.0,271.0,,3.0,52.0,285.0,500.0,,−9.858,,-49.0,785.0
2002,"Lonoke County, Arkansas",212.0,216.0,,4.0,17.0,298.0,353.0,,−2.164,,-13.0,651.0
2002,"Lonoke County, Arkansas",788.0,848.0,,94.0,95.0,,,42.0,0.438,,-1.0,
2002,"Lonoke County, Arkansas",85.0,85.0,,0.0,5.0,92.0,159.0,,−2.445,,-5.0,251.0
2002,"Lonoke County, Arkansas",182.0,193.0,,4.0,21.0,162.0,476.0,,−17.532,,-17.0,638.0
2002,"Lonoke County, Arkansas",788.0,848.0,,94.0,95.0,,,42.0,0.438,,-1.0,
2002,"Lonoke County, Arkansas",78.0,83.0,675.0,83.0,,675.0,,675.0,200.000,8.65,,
2003,"Lonoke County, Arkansas",813.0,884.0,,116.0,81.0,,,116.0,1.200,,35.0,
2003,"Lonoke County, Arkansas",85.0,85.0,,0.0,0.0,184.0,196.0,,−0.446,,0.0,380.0
2003,"Lonoke County, Arkansas",813.0,884.0,,116.0,81.0,,,116.0,1.200,,35.0,
2003,"Lonoke County, Arkansas",248.0,261.0,,3.0,51.0,245.0,529.0,,−12.139,,-48.0,774.0
2003,"Lonoke County, Arkansas",90.0,94.0,561.0,94.0,,561.0,,561.0,200.000,6.23,,
2003,"Lonoke County, Arkansas",234.0,239.0,,8.0,14.0,219.0,347.0,,−4.680,,-6.0,566.0
2003,"Lonoke County, Arkansas",194.0,205.0,,11.0,16.0,286.0,295.0,,−0.555,,-5.0,581.0
2004,"Lonoke County, Arkansas",81.0,81.0,,0.0,4.0,196.0,276.0,,−3.020,,-4.0,472.0
2004,"Lonoke County, Arkansas",815.0,885.0,,86.0,84.0,,,373.0,3.775,,2.0,
2004,"Lonoke County, Arkansas",252.0,270.0,,5.0,49.0,565.0,435.0,130.0,5.856,,-44.0,1000.0
2004,"Lonoke County, Arkansas",195.0,206.0,,,14.0,227.0,209.0,18.0,0.903,,,436.0
2004,"Lonoke County, Arkansas",245.0,250.0,,,17.0,245.0,461.0,,−7.830,,,706.0
2004,"Lonoke County, Arkansas",815.0,885.0,,86.0,84.0,,,373.0,3.775,,2.0,
2004,"Lonoke County, Arkansas",77.0,78.0,519.0,78.0,,519.0,,519.0,200.000,6.74,,
2005,"Lonoke County, Arkansas",75.0,75.0,,0.0,6.0,94.0,198.0,,−4.048,,-6.0,292.0
2005,"Lonoke County, Arkansas",272.0,282.0,,3.0,16.0,226.0,475.0,,−8.143,,-13.0,701.0
